H,K,L,F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),FreeR_flag
0,0,1,,,,,,,,,,,,,,,,3
0,0,2,,,,,,,,,,,,,,,,15
0,0,3,,,,,,,,,,,,,,,,17
0,0,4,,,,,,,,,,,,,,,,13
0,0,5,,,,,,,,,,,,,,,,18
0,0,6,,,,,,,,,,,,,,,,0
0,0,7,,,,,,,,,,,,,,,,3
0,0,8,,,,,,,,,,,,,,,,16
0,0,9,,,,,,,,,,,,,,,,14
0,0,10,,,,,,,,,,,,,,,,1
0,0,11,,,,,,,,,,,,,,,,6
0,0,12,,,,,,,,,,,,,,,,14
0,0,13,,,,,,,,,,,,,,,,15
0,0,14,,,,,,,,,,,,,,,,12
0,0,15,,,,,,,,,,,,,,,,2
0,0,16,,,,,,,,,,,,,,,,17
0,0,17,,,,,,,,,,,,,,,,18
0,0,18,,,,,,,,,,,,,,,,7
1,0,0,,,,,,,,,,,,,,,,11
1,0,1,,,,,,,,,,,,,,,,1
1,0,2,,,,,,,,,,,,,,,,8
1,0,3,,,,,,,,,,,,,,,,8
1,0,4,,,,,,,,,,,,,,,,17
1,0,5,,,,,,,,,,,,,,,,4
1,0,6,,,,,,,,,,,,,,,,18
1,0,7,,,,,,,,,,,,,,,,14
1,0,8,,,,,,,,,,,,,,,,1
1,0,9,,,,,,,,,,,,,,,,3
1,0,10,,,,,,,,,,,,,,,,10
1,0,11,,,,,,,,,,,,,,,,15
1,0,12,,,,,,,,,,,,,,,,18
1,0,13,,,,,,,,,,,,,,,,7
1,0,14,,,,,,,,,,,,,,,,14
1,0,15,,,,,,,,,,,,,,,,1
1,0,16,,,,,,,,,,,,,,,,18
1,0,17,,,,,,,,,,,,,,,,8
1,0,18,,,,,,,,,,,,,,,,13
1,1,0,,,,,,,,,,,,,,,,19
1,1,1,,,,,,,,,,,,,,,,2
1,1,2,,,,,,,,,,,,,,,,17
1,1,3,,,,,,,,,,,,,,,,10
1,1,4,,,,,,,,,,,,,,,,5
1,1,5,,,,,,,,,,,,,,,,1
1,1,6,,,,,,,,,,,,,,,,12
1,1,7,,,,,,,,,,,,,,,,7
1,1,8,,,,,,,,,,,,,,,,18
1,1,9,,,,,,,,,,,,,,,,6
1,1,10,,,,,,,,,,,,,,,,3
1,1,11,,,,,,,,,,,,,,,,11
1,1,12,,,,,,,,,,,,,,,,3
1,1,13,,,,,,,,,,,,,,,,7
1,1,14,,,,,,,,,,,,,,,,15
1,1,15,,,,,,,,,,,,,,,,5
1,1,16,,,,,,,,,,,,,,,,19
1,1,17,,,,,,,,,,,,,,,,6
1,1,18,,,,,,,,,,,,,,,,2
2,0,0,,,,,,,,,,,,,,,,19
