H,K,L,FreeR_flag,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM
0,0,4,2,,,,,,,,,,,,,,,
0,0,8,19,,,,,,,,,,,,,,,
0,0,12,17,,,,,,,,,,,,,,,
1,0,1,8,,,,,,,,,,,,,,,
1,0,2,9,,,,,,,,,,,,,,,
1,0,3,11,,,,,,,,,,,,,,,
1,0,4,18,,,,,,,,,,,,,,,
1,0,5,4,,,,,,,,,,,,,,,
1,0,6,11,,,,,,,,,,,,,,,
1,0,7,13,,,,,,,,,,,,,,,
1,0,8,9,,,,,,,,,,,,,,,
1,0,9,19,,,,,,,,,,,,,,,
1,0,10,6,,,,,,,,,,,,,,,
1,0,11,1,,,,,,,,,,,,,,,
1,0,12,2,,,,,,,,,,,,,,,
1,0,13,1,,,,,,,,,,,,,,,
1,0,14,17,,,,,,,,,,,,,,,
1,0,15,15,,,,,,,,,,,,,,,
1,1,0,14,,,,,,,,,,,,,,,
1,1,1,15,,,,,,,,,,,,,,,
1,1,2,19,,,,,,,,,,,,,,,
1,1,3,12,,,,,,,,,,,,,,,
1,1,4,3,,,,,,,,,,,,,,,
1,1,5,16,,,,,,,,,,,,,,,
1,1,6,3,,,,,,,,,,,,,,,
1,1,7,8,,,,,,,,,,,,,,,
1,1,8,7,,,,,,,,,,,,,,,
1,1,9,12,,,,,,,,,,,,,,,
1,1,10,7,,,,,,,,,,,,,,,
1,1,11,11,,,,,,,,,,,,,,,
1,1,12,18,,,,,,,,,,,,,,,
1,1,13,7,,,,,,,,,,,,,,,
1,1,14,1,,,,,,,,,,,,,,,
1,1,15,6,,,,,,,,,,,,,,,
2,0,0,7,,,,,,,,,,,,,,,
2,0,1,9,,,,,,,,,,,,,,,
2,0,2,0,,,,,,,,,,,,,,,
2,0,3,16,,,,,,,,,,,,,,,
2,0,4,16,,,,,,,,,,,,,,,
2,0,5,11,,,,,,,,,,,,,,,
2,0,6,7,,,,,,,,,,,,,,,
2,0,7,19,,,,,,,,,,,,,,,
2,0,8,12,,,,,,,,,,,,,,,
2,0,9,3,,,,,,,,,,,,,,,
2,0,10,12,,,,,,,,,,,,,,,
2,0,11,7,,,,,,,,,,,,,,,
2,0,12,16,,,,,,,,,,,,,,,
2,0,13,11,,,,,,,,,,,,,,,
2,0,14,10,,,,,,,,,,,,,,,
2,0,15,11,,,,,,,,,,,,,,,
2,1,0,14,,,,,,,,,,,,,,,
2,1,1,9,,,,,,,,,,,,,,,
2,1,2,8,,,,,,,,,,,,,,,
2,1,3,17,,,,,,,,,,,,,,,
2,1,4,11,,,,,,,,,,,,,,,
2,1,5,13,,,,,,,,,,,,,,,
2,1,6,11,,,,,,,,,,,,,,,
2,1,7,0,,,,,,,,,,,,,,,
2,1,8,6,,,,,,,,,,,,,,,
2,1,9,19,,,,,,,,,,,,,,,
2,1,10,14,,,,,,,,,,,,,,,
2,1,11,8,,,,,,,,,,,,,,,
2,1,12,6,,,,,,,,,,,,,,,
2,1,13,4,,,,,,,,,,,,,,,
2,1,14,0,,,,,,,,,,,,,,,
2,2,0,18,,,,,,,,,,,,,,,
2,2,1,2,,,,,,,,,,,,,,,
2,2,2,2,,,,,,,,,,,,,,,
2,2,3,4,,,,,,,,,,,,,,,
